Simplified Question,Original Questions Count
Trouble loading coures,13
[Fraud Alert] Order ID wRRPL1727955218950497 | GRAPHY LABS PRIVATE LIMITED Cashfree account,70
New comment in Vocabulary Mastery,232
Your weekly report from Graphy!,92
Playstore - Mobile App is unlisted,119
Re: Reminder — your payment is still due!,69
Fwd: PLEASE CANCEL AND REFUND - Re: Meeting Minutes and Action Items,32
(No Subject),161
Escalation on Onboarding Process - Arrange a call back on 7888017072,32
Inquiry About Student Limit and Website Performance,54
Urgent Request for Change of Point of Contact and Update on App Launch,27
Re: Here is your invoice,97
Processing error,70
Urgent - Extremely Disappointed with Graphy's Service - Unresolved Issues ,60
[##37082##] Your ticket has been created - 13015047,1
New comment in Special Mentorship Program,93
URGENT: Please confirm all is well,1155
Re: Your learners have lost access to their course dashboards,30
New comment in CYBER SECURITY & ETHICAL HACKING,32
Issue in Membership,19
RE: American Association of Orthodontists 2025  - Attendees Info,8
Fwd: Action Required: Your app is not compliant with Google Play Policies (UKIC Online Commerce Learning App–11-12/BCom/BBA),32
Re: Account Deletion,35
Chat Support,109
Unable to Download the Media File from Asset Library,38
Website videos not working ,84
Re: Request for Service assignment to manage the graphic platform,31
payment gateway not working,37
Re: Critical update — your payment is overdue,9
Fwd: Trending stability issues for 2024-10-08 - Android com.pallavipathshala.courses,97
Support for Start Selling Courses,47
Unable to access my account & see its content,51
Technical query,40
Re: The Best Proposal,26
Problem with site,55
Loging Details not received on WhatsApp,26
How to enable the access for the recording whoever is enrolled but missed to attend,32
[Chargeback Alert] Order ID KlyRJ17334716287587 | GRAPHY LABS PRIVATE LIMITED Cashfree account,4
LMT LAB DAY West 2025 -,32
KYC details,57
Issue about email being marked as spam,60
Still my domain is not active,57
Important :My website is down which is hosted on Graphy,104
Editing the past webinar,61
help from CSM required as soon as possible.,44
Re: [Important] Your subscription will renew itself on 21-Oct-2024,27
Paid Guest Post Services Post Accepted.,18
Re: Thank you for your payment,40
New comment in EARNING WITH MORAL GROUP ROZGAR SHAKTI TEAM,52
Breakup of Billing,1
Demo required for Graphy,30
graphy course creators community,22
Billing,38
Please help me out here by resetting my password for me?,14
IMPORTANT: Deletion of profile,22
Re: Your payment is still due!,99
How to share the URL of the Landing page,73
Re: Your payment is long overdue — please don't ignore this email,22
Urgent: Website Down - Request for Immediate Resolution,32
Enable Website Builder Feature,18
Urgent Enquiry !,18
Our App is not shown on the play store,46
Fwd: Verify your Play Console developer account now,50
Urgent Support Needed for Graphy Purchase and Activation Issues,47
Learners not get access. And how I can send them log in I'd password for there enrollment and how I can extend course validity.,11
CHANGE OF EMAIL,68
Issues with email campaigns and website design,29
Assistance Required for Launching McZeal - Learner's Choice App,92
Clarification in HTML Adjustment in Course Curriculum Section,17
Assistance required on sending emails to enrolled course participants,8
Regarding digital products,18
The Check out page does not ask for Email id,9
Request for Tracking Code Implementation on Voxdemy Website,28
Hide the File name of uploaded video,19
Unable to login to Graphy dashboard Unsolved - [##34425##],57
"Grievance lodged at Department of Consumer Affairs, Government of India",7
Invitation to try Google Analytics 4 Powerful Add-on,29
settlement problem,31
help,89
OBS Setup for Live Classes,61
Re: Graphy - Chat with New Point Institute,8
User not got refund,68
Fwd: Payment receipt for your successful transaction on Graphy Subscription,41
Payment overdue,27
not able copy leaner from one free course to another,132
Follow up for ticket id 34432,69
[Chargeback Alert] Order ID GCMcj172771259007858 | GRAPHY LABS PRIVATE LIMITED Cashfree account,160
My users are unable to access my course,41
Promo Codes,34
deep link issue,146
Zoom integration support,29
Users facing an issues to purchase my course,24
App Enablement for my account,98
PDFs are not opening,18
Purchased graphy but could not use could you pls transfer it my husband email id and name,14
Exclusive Hotel Rates for AEEDC Dubai 2025 Exhibitors - Book Your Stay Now!,28
Regarding verification of developer account,26
We have permanently closed subscription of graphy,16
Playback is not supported in iOS..,38
Re: Transcript of the chat session with Team Graphy from Graphy,95
